발주번호,발주유형,SKU ID,SKU 이름,SKU Barcode,물류센터,입고예정일,발주일,발주수량,확정수량,입고수량,매입유형,면세여부,생산연도,제조일자,유통기한,매입가,공급가,부가세,총발주 매입금,입고금액
19351878,일반,11492986,말랑하니 오가닉속싸개_엘라스틴_그레이도트M,R004467000001,고양1,2020-09-09,2020-09-04 12:14:14,8,8,0,직매입,N,,,,13900,12636,1264,111200,0
19351878,일반,11492985,말랑하니 오가닉속싸개_엘라스틴_캐럿핑크S,R004467000006,고양1,2020-09-09,2020-09-04 12:14:14,22,22,0,직매입,N,,,,13900,12636,1264,305800,0
19351860,일반,12245896,말랑하니 오가닉속싸개_엘라스틴_캐럿핑크L,R005352270002,덕평1,2020-09-09,2020-09-04 12:14:13,4,4,0,직매입,N,,,,16900,15364,1536,67600,0
19351860,일반,11492990,말랑하니 오가닉스와들스트랩_엘라스틴_캐럿핑크,R004467000007,덕평1,2020-09-09,2020-09-04 12:14:13,4,4,0,직매입,N,,,,13900,12636,1264,55600,0
19351860,일반,11492989,말랑하니 오가닉스와들스트랩_엘라스틴_그레이도트,R004467000005,덕평1,2020-09-09,2020-09-04 12:14:13,12,12,0,직매입,N,,,,13900,12636,1264,166800,0
19346417,일반,8155480,말랑하니 디데이달력 ver.5칸_하늘그레이,R001627180004,인천4,2020-09-09,2020-09-04 08:42:42,10,10,0,직매입,N,,,,6000,5455,545,60000,0
19346417,일반,10451944,말랑하니 속싸개 메쉬 캐럿베이지 M,R003451180015,인천4,2020-09-09,2020-09-04 08:42:42,50,50,0,직매입,N,,,,13500,12273,1227,675000,0
19346417,일반,8155479,말랑하니 디데이달력 ver.5칸_핑크그레이,R001627180003,인천4,2020-09-09,2020-09-04 08:42:42,10,10,0,직매입,N,,,,6000,5455,545,60000,0
19346417,일반,10451899,말랑하니 속싸개 오리지널 베이지 S,R003451180008,인천4,2020-09-09,2020-09-04 08:42:42,4,4,0,직매입,N,,,,13500,12273,1227,54000,0
19346417,일반,10451943,말랑하니 속싸개 메쉬 블루도트 M,R003451180017,인천4,2020-09-09,2020-09-04 08:42:42,50,50,0,직매입,N,,,,13500,12273,1227,675000,0
19346417,일반,10451950,말랑하니 속싸개 메쉬 캐럿베이지 S,R003451180014,인천4,2020-09-09,2020-09-04 08:42:42,6,6,0,직매입,N,,,,13500,12273,1227,81000,0
